abreviation,Order,Species,strain,refseq
ecoli,Gammaproteobacteria,Escherichia_coli,K-12_MG1655,GCF_000005845.2
cfreu,Gammaproteobacteria,Citrobacter_freundii,MSB1_1H,GCF_904859905.1
kpneu,Gammaproteobacteria,Klebsiella_pneumoniae_subsp._pneumoniae_HS11286,HS11286,GCF_000240185.1
smarc,Gammaproteobacteria,Serratia_marcescens,ELP1.10,GCF_030291735.1
pmira,Gammaproteobacteria,Proteus_mirabilis_HI4320,HI4320,GCF_000069965.1
kasco,Gammaproteobacteria,Kluyvera_ascorbata,SK,GCF_023195735.1
csaka,Gammaproteobacteria,Cronobacter_sakazakii,CS-931,GCF_003516125.1
sente,Gammaproteobacteria,Salmonella_enterica_subsp._enterica_serovar_Typhimurium_str._LT2,LT2,GCF_000006945.2
sdyse,Gammaproteobacteria,Shigella_dysenteriae,SWHEFF_49,GCF_022354085.1
ecloa,Gammaproteobacteria,Enterobacter_cloacae,strain1382,GCF_905331265.2
eamyl,Gammaproteobacteria,Erwinia_amylovora_CFBP1430,CFPB1430,GCF_000091565.1
pcaro,Gammaproteobacteria,Pectobacterium_carotovorum,WPP14,GCF_013488025.1
ypest,Gammaproteobacteria,Yersinia_pestis_A1122,A1122,GCF_000222975.1
pmult,Gammaproteobacteria,Pasteurella_multocida,FDAARGOS_218,GCF_002073255.2
avine,Gammaproteobacteria,Azotobacter_vinelandii_DJ,DJ_ATCC_BAA-1303,GCF_000021045.1
paeru,Gammaproteobacteria,Pseudomonas_aeruginosa_PAO1,PAO1,GCF_000006765.1
xfast,Gammaproteobacteria,Xylella_fastidiosa,ICMP_15197,GCF_028891345.1
vchol,Gammaproteobacteria,Vibrio_cholerae,RFB16,GCF_008369605.1
sonei,Gammaproteobacteria,Shewanella_oneidensis_MR-1,MR-1,GCF_000146165.2
smalt,Gammaproteobacteria,Stenotrophomonas_maltophilia,NCTC10257,GCF_900186865.1
abaum,Gammaproteobacteria,Acinetobacter_baumannii,ATCC_19606,GCF_009035845.1
lpneu,Gammaproteobacteria,Legionella_pneumophila,Philadelphia-1,GCF_001941585.1
amari,Gammaproteobacteria,Alteromonas_marina,AD001,GCF_000808575.1
hinfl,Gammaproteobacteria,Haemophilus_influenzae,FDAARGOS_1560,GCF_020736045.1
neuro,Betaproteobacteria,Nitrosomonas_europaea_ATCC_19718,ATCC_19718,GCF_000009145.1
rsola,Betaproteobacteria,Ralstonia_solanacearum,IBSBF1503,GCF_001587155.1
bcepa,Betaproteobacteria,Burkholderia_cepacia,BC16,GCF_009586235.1
nmeni,Betaproteobacteria,Neisseria_meningitidis,PartJ-Nmeningitidis-RM8376,GCF_022869645.1
ctaiw,Betaproteobacteria,Cupriavidus_taiwanensis_LMG_19424,LMG_19424,GCF_000069785.1
mexto,Alphaproteobacteria,Methylorubrum_extorquens_DM4,DM4,GCF_000083545.1
rlegu,Alphaproteobacteria,Rhizobium_leguminosarum,SM52,GCF_004306555.1
cpela,Alphaproteobacteria,Candidatus_Pelagibacter_ubique_HTCC1062,HTCC1062,GCF_000012345.1
atume,Alphaproteobacteria,Agrobacterium_tumefaciens,G3-79,GCF_013318015.2
cvibr,Alphaproteobacteria,Caulobacter_vibrioides_NA1000,NA1000,GCF_000022005.1
aacet,Alphaproteobacteria,Acetobacter_aceti_ATCC_23746,ATCC_23746,GCF_000379545.1
bthet,Outgroups,Bacteroides_thetaiotaomicron,DSM_2079,GCF_014131755.1
ctrac,Outgroups,Chlamydia_trachomatis_D-UW-3-CX,D-UW-3-CX,GCF_000008725.1
cjeju,Outgroups,Campylobacter_jejuni_subsp._jejuni_NCTC_11168_=_ATCC_700819,NCTC_11168,GCF_000009085.1
hpylo,Outgroups,Helicobacter_pylori,CHC155,GCF_025998455.1
bburg,Outgroups,Borreliella_burgdorferi_Bol26,Bol26,GCF_000181575.2
