Assembly Accession	Assembly Name	Organism Name	Organism Infraspecific Names Breed	Organism Infraspecific Names Strain	Organism Infraspecific Names Cultivar	Organism Infraspecific Names Ecotype	Organism Infraspecific Names Isolate	Organism Infraspecific Names Sex	Assembly BioProject Accession	Assembly BioSample Accession
GCA_008370715.1	ASM837071v1	Pseudomonas brassicacearum		3Re2-7					PRJNA511966	SAMN10654118
GCF_008370715.1	ASM837071v1	Pseudomonas brassicacearum		3Re2-7					PRJNA511966	SAMN10654118
GCA_001449085.1	ASM144908v1	Pseudomonas brassicacearum		LBUM300					PRJNA292573	SAMN03981709
GCF_001449085.1	ASM144908v1	Pseudomonas brassicacearum		LBUM300					PRJNA292573	SAMN03981709
GCA_030064105.1	ASM3006410v1	Pseudomonas brassicacearum		R401					PRJNA968066	SAMN34895652
GCF_030064105.1	ASM3006410v1	Pseudomonas brassicacearum		R401					PRJNA968066	SAMN34895652
GCA_024749265.1	ASM2474926v1	Pseudomonas brassicacearum		B21-016					PRJNA779451	SAMN23038775
GCF_024749265.1	ASM2474926v1	Pseudomonas brassicacearum		B21-016					PRJNA779451	SAMN23038775
GCA_030687755.1	ASM3068775v1	Pseudomonas brassicacearum		FP1843					PRJNA847632	SAMN29204966
GCF_030687755.1	ASM3068775v1	Pseudomonas brassicacearum		FP1843					PRJNA847632	SAMN29204966
GCA_001746815.1	ASM174681v1	Pseudomonas brassicacearum		L13-6-12					PRJNA311625	SAMN04486788
GCF_001746815.1	ASM174681v1	Pseudomonas brassicacearum		L13-6-12					PRJNA311625	SAMN04486788
GCA_000585995.1	ASM58599v1	Pseudomonas brassicacearum		DF41					PRJNA239581	SAMN02666520
GCF_000585995.1	ASM58599v1	Pseudomonas brassicacearum		DF41					PRJNA239581	SAMN02666520
GCA_021389915.1	ASM2138991v1	Pseudomonas brassicacearum		WCS365					PRJNA785268	SAMN23552308
GCF_021389915.1	ASM2138991v1	Pseudomonas brassicacearum		WCS365					PRJNA785268	SAMN23552308
GCA_009601685.2	ASM960168v2	Pseudomonas brassicacearum		S-1					PRJNA580197	SAMN13152466
GCF_009601685.2	ASM960168v2	Pseudomonas brassicacearum		S-1					PRJNA580197	SAMN13152466
GCA_000194805.1	ASM19480v1	Pseudomonas brassicacearum subsp. brassicacearum NFM421		NFM421					PRJEA63495	SAMN02603052
GCF_000194805.1	ASM19480v1	Pseudomonas brassicacearum subsp. brassicacearum NFM421		NFM421					PRJEA63495	SAMN02603052
GCA_900103245.1	IMG-taxon 2639762602 annotated assembly	Pseudomonas brassicacearum		BS3663					PRJEB16280	SAMN04490180
GCF_900103245.1	IMG-taxon 2639762602 annotated assembly	Pseudomonas brassicacearum		LMG 21623					PRJEB16280	SAMN04490180
GCA_042429425.1	ASM4242942v1	Pseudomonas brassicacearum		JCM 11938					PRJNA595761	SAMN43281746
GCF_042429425.1	ASM4242942v1	Pseudomonas brassicacearum		JCM 11938					PRJNA595761	SAMN43281746
GCA_012034345.1	ASM1203434v1	Pseudomonas brassicacearum		JCM 11938					PRJNA614643	SAMN14437789
GCF_012034345.1	ASM1203434v1	Pseudomonas brassicacearum		JCM 11938					PRJNA614643	SAMN14437789
GCA_008801605.1	ASM880160v1	Pseudomonas brassicacearum subsp. brassicacearum		CCUG 51508					PRJNA563568	SAMN12697584
GCF_008801605.1	ASM880160v1	Pseudomonas brassicacearum subsp. brassicacearum		CCUG 51508					PRJNA563568	SAMN12697584
GCA_003732075.1	ASM373207v1	Pseudomonas brassicacearum		36B7					PRJNA342848	SAMN05933926
GCF_003732075.1	ASM373207v1	Pseudomonas brassicacearum		36B7					PRJNA342848	SAMN05933926
GCA_001269635.1	ASM126963v1	Pseudomonas brassicacearum		TM1A3					PRJNA290438	SAMN03891670
