Assembly Accession	Assembly Name	Organism Name	Organism Infraspecific Names Breed	Organism Infraspecific Names Strain	Organism Infraspecific Names Cultivar	Organism Infraspecific Names Ecotype	Organism Infraspecific Names Isolate	Organism Infraspecific Names Sex	Assembly BioProject Accession	Assembly BioSample Accession
GCA_020917325.1	ASM2091732v1	Pseudomonas savastanoi		MHT1					PRJNA736824	SAMN19665368
GCF_020917325.1	ASM2091732v1	Pseudomonas savastanoi		MHT1					PRJNA736824	SAMN19665368
GCA_041378945.2	Pseudomonas savastanoi pathovar phaseolicola HB10Y	Pseudomonas savastanoi pv. phaseolicola		HB10Y					PRJNA1142166	SAMN42927920
GCF_041378945.2	Pseudomonas savastanoi pathovar phaseolicola HB10Y	Pseudomonas savastanoi pv. phaseolicola		HB10Y					PRJNA1142166	SAMN42927920
GCA_014855475.1	ASM1485547v1	Pseudomonas savastanoi		CAS03					PRJNA491790	SAMN10088813
GCF_014855475.1	ASM1485547v1	Pseudomonas savastanoi		CAS03					PRJNA491790	SAMN10088813
GCA_022026035.1	ASM2202603v1	Pseudomonas savastanoi pv. savastanoi		PVFi1					PRJNA635552	SAMN15043218
GCF_022026035.1	ASM2202603v1	Pseudomonas savastanoi pv. savastanoi		PVFi1					PRJNA635552	SAMN15043218
GCA_000012205.1	ASM1220v1	Pseudomonas savastanoi pv. phaseolicola 1448A		1448A; BAA-978					PRJNA12416	SAMN02603162
GCF_000012205.1	ASM1220v1	Pseudomonas savastanoi pv. phaseolicola 1448A		1448A; BAA-978					PRJNA12416	SAMN02603162
GCA_000164015.3	ASM16401v3	Pseudomonas savastanoi pv. savastanoi NCPPB 3335		NCPPB 3335					PRJNA41887	SAMN02471367
GCF_000164015.3	ASM16401v3	Pseudomonas savastanoi pv. savastanoi NCPPB 3335		NCPPB 3335					PRJNA41887	SAMN02471367
GCA_001401285.1	PsvICMP4352	Pseudomonas savastanoi pv. savastanoi		ICMP4352					PRJNA292453	SAMN03976268
GCF_001401285.1	PsvICMP4352	Pseudomonas savastanoi pv. savastanoi		ICMP 4352					PRJNA292453	SAMN03976268
GCA_001538155.1	ASM153815v1	Pseudomonas savastanoi pv. fraxini		CFBP 5062					PRJNA287460	SAMN03992201
GCF_001538155.1	ASM153815v1	Pseudomonas savastanoi pv. fraxini		CFBP 5062					PRJNA287460	SAMN03992201
GCA_001483545.1	PfrICMP7711	Pseudomonas savastanoi pv. fraxini		ICMP7711					PRJNA292453	SAMN03976404
GCF_001483545.1	PfrICMP7711	Pseudomonas savastanoi pv. fraxini		ICMP 7711					PRJNA292453	SAMN03976404
GCA_017140875.1	ASM1714087v1	Pseudomonas savastanoi pv. phaseolicola		race 8					PRJNA598713	SAMN13714831
GCF_017140875.1	ASM1714087v1	Pseudomonas savastanoi pv. phaseolicola		race 8					PRJNA598713	SAMN13714831
GCA_017140835.1	ASM1714083v1	Pseudomonas savastanoi pv. phaseolicola		race 5					PRJNA598713	SAMN13714830
GCF_017140835.1	ASM1714083v1	Pseudomonas savastanoi pv. phaseolicola		race 5					PRJNA598713	SAMN13714830
GCA_029764045.1	ASM2976404v1	Pseudomonas savastanoi pv. phaseolicola		Cuneo #6_18					PRJNA952184	SAMN34068137
GCF_029764045.1	ASM2976404v1	Pseudomonas savastanoi pv. phaseolicola		Cuneo #6_18					PRJNA952184	SAMN34068137
GCA_029764015.1	ASM2976401v1	Pseudomonas savastanoi pv. phaseolicola		Pph #13					PRJNA952184	SAMN34068136
GCF_029764015.1	ASM2976401v1	Pseudomonas savastanoi pv. phaseolicola		Pph #13					PRJNA952184	SAMN34068136
GCA_003702785.1	ASM370278v1	Pseudomonas savastanoi pv. phaseolicola		1449B					PRJNA292453	SAMN03976346
GCF_003702785.1	ASM370278v1	Pseudomonas savastanoi pv. phaseolicola		1449B					PRJNA292453	SAMN03976346
GCA_003413235.1	ASM341323v1	Pseudomonas savastanoi pv. phaseolicola		508					PRJNA481030	SAMN09655420
GCF_003413235.1	ASM341323v1	Pseudomonas savastanoi pv. phaseolicola		508					PRJNA481030	SAMN09655420
GCA_003413175.1	ASM341317v1	Pseudomonas savastanoi pv. phaseolicola		511					PRJNA481030	SAMN09655423
GCF_003413175.1	ASM341317v1	Pseudomonas savastanoi pv. phaseolicola		511					PRJNA481030	SAMN09655423
GCA_017009525.1	ASM1700952v1	Pseudomonas savastanoi pv. phaseolicola		T11544					PRJNA603636	SAMN13939497
GCF_017009525.1	ASM1700952v1	Pseudomonas savastanoi pv. phaseolicola		T11544					PRJNA603636	SAMN13939497
GCA_017009545.1	ASM1700954v1	Pseudomonas savastanoi pv. phaseolicola		K4287					PRJNA603636	SAMN13939498
GCF_017009545.1	ASM1700954v1	Pseudomonas savastanoi pv. phaseolicola		K4287					PRJNA603636	SAMN13939498
GCA_003413195.1	ASM341319v1	Pseudomonas savastanoi pv. phaseolicola		510					PRJNA481030	SAMN09655422
GCF_003413195.1	ASM341319v1	Pseudomonas savastanoi pv. phaseolicola		510					PRJNA481030	SAMN09655422
GCA_003413245.1	ASM341324v1	Pseudomonas savastanoi pv. phaseolicola		507					PRJNA481030	SAMN09655419
GCF_003413245.1	ASM341324v1	Pseudomonas savastanoi pv. phaseolicola		507					PRJNA481030	SAMN09655419
GCA_003413445.1	ASM341344v1	Pseudomonas savastanoi pv. phaseolicola		506					PRJNA481030	SAMN09655418
GCF_003413445.1	ASM341344v1	Pseudomonas savastanoi pv. phaseolicola		506					PRJNA481030	SAMN09655418
GCA_001294035.1	PphHB10Y	Pseudomonas savastanoi pv. phaseolicola		HB10Y					PRJNA287072	SAMN03837772
GCF_001294035.1	PphHB10Y	Pseudomonas savastanoi pv. phaseolicola		HB10Y					PRJNA287072	SAMN03837772
GCA_003413225.1	ASM341322v1	Pseudomonas savastanoi pv. phaseolicola		509					PRJNA481030	SAMN09655421
GCF_003413225.1	ASM341322v1	Pseudomonas savastanoi pv. phaseolicola		509					PRJNA481030	SAMN09655421
GCA_003412985.1	ASM341298v1	Pseudomonas savastanoi pv. phaseolicola		525					PRJNA481030	SAMN09655437
GCF_003412985.1	ASM341298v1	Pseudomonas savastanoi pv. phaseolicola		525					PRJNA481030	SAMN09655437
GCA_003413155.1	ASM341315v1	Pseudomonas savastanoi pv. phaseolicola		512					PRJNA481030	SAMN09655424
GCF_003413155.1	ASM341315v1	Pseudomonas savastanoi pv. phaseolicola		512					PRJNA481030	SAMN09655424
GCA_003413015.1	ASM341301v1	Pseudomonas savastanoi pv. phaseolicola		523					PRJNA481030	SAMN09655435
GCF_003413015.1	ASM341301v1	Pseudomonas savastanoi pv. phaseolicola		523					PRJNA481030	SAMN09655435
GCA_003413305.1	ASM341330v1	Pseudomonas savastanoi pv. phaseolicola		530					PRJNA481030	SAMN09655442
GCF_003413305.1	ASM341330v1	Pseudomonas savastanoi pv. phaseolicola		530					PRJNA481030	SAMN09655442
GCA_003413035.1	ASM341303v1	Pseudomonas savastanoi pv. phaseolicola		522					PRJNA481030	SAMN09655434
GCF_003413035.1	ASM341303v1	Pseudomonas savastanoi pv. phaseolicola		522					PRJNA481030	SAMN09655434
GCA_003413145.1	ASM341314v1	Pseudomonas savastanoi pv. phaseolicola		513					PRJNA481030	SAMN09655425
GCF_003413145.1	ASM341314v1	Pseudomonas savastanoi pv. phaseolicola		513					PRJNA481030	SAMN09655425
GCA_003413375.1	ASM341337v1	Pseudomonas savastanoi pv. phaseolicola		526					PRJNA481030	SAMN09655438
