Assembly Accession	Assembly Name	Organism Name	Organism Infraspecific Names Breed	Organism Infraspecific Names Strain	Organism Infraspecific Names Cultivar	Organism Infraspecific Names Ecotype	Organism Infraspecific Names Isolate	Organism Infraspecific Names Sex	Assembly BioProject Accession	Assembly BioSample Accession
GCA_900184295.1	Chr_1	Pseudomonas viridiflava		CFBP 1590			E12-5		PRJEB20965	SAMEA104090973
GCF_900184295.1	Chr_1	Pseudomonas viridiflava		CFBP 1590			E12-5		PRJEB20965	SAMEA104090973
GCA_023497985.1	ASM2349798v1	Pseudomonas viridiflava		JACO-C-5					PRJNA836746	SAMN28171611
GCF_023497985.1	ASM2349798v1	Pseudomonas viridiflava		JACO-C-5					PRJNA836746	SAMN28171611
GCA_025985525.1	ASM2598552v1	Pseudomonas viridiflava		Psy35					PRJNA524303	SAMN11022115
GCF_025985525.1	ASM2598552v1	Pseudomonas viridiflava		Psy35					PRJNA524303	SAMN11022115
GCA_018388545.1	ASM1838854v1	Pseudomonas viridiflava		U625					PRJNA728054	SAMN19070009
GCF_018388545.1	ASM1838854v1	Pseudomonas viridiflava		U625					PRJNA728054	SAMN19070009
GCA_019104085.1	ASM1910408v1	Pseudomonas viridiflava		StP3					PRJNA728054	SAMN19813350
GCF_019104085.1	ASM1910408v1	Pseudomonas viridiflava		StP3					PRJNA728054	SAMN19813350
GCA_019104065.1	ASM1910406v1	Pseudomonas viridiflava		SV1779					PRJNA728054	SAMN19813352
GCF_019104065.1	ASM1910406v1	Pseudomonas viridiflava		SV1779					PRJNA728054	SAMN19813352
GCA_019104045.1	ASM1910404v1	Pseudomonas viridiflava		T1426					PRJNA728054	SAMN19813354
GCF_019104045.1	ASM1910404v1	Pseudomonas viridiflava		T1426					PRJNA728054	SAMN19813354
GCA_019104005.1	ASM1910400v1	Pseudomonas viridiflava		StP4					PRJNA728054	SAMN19813351
GCF_019104005.1	ASM1910400v1	Pseudomonas viridiflava		StP4					PRJNA728054	SAMN19813351
GCA_019104025.1	ASM1910402v1	Pseudomonas viridiflava		T157					PRJNA728054	SAMN19813353
GCF_019104025.1	ASM1910402v1	Pseudomonas viridiflava		T157					PRJNA728054	SAMN19813353
GCA_001642795.1	ASM164279v1	Pseudomonas viridiflava		ICMP 2848					PRJNA296742	SAMN04102828
GCF_001642795.1	ASM164279v1	Pseudomonas viridiflava		ICMP 2848					PRJNA296742	SAMN04102828
GCA_001305955.1	ASM130595v1	Pseudomonas viridiflava		DSM 6694					PRJNA263532	SAMN03103695
GCF_001305955.1	ASM130595v1	Pseudomonas viridiflava		DSM 6694					PRJNA263532	SAMN03103695
GCA_001401215.1	PvrICMP2848	Pseudomonas viridiflava		ICMP2848					PRJNA292453	SAMN03976266
GCF_001401215.1	PvrICMP2848	Pseudomonas viridiflava		ICMP 2848					PRJNA292453	SAMN03976266
GCA_019083885.1	ASM1908388v1	Pseudomonas viridiflava		KF485					PRJNA728054	SAMN19813349
GCF_019083885.1	ASM1908388v1	Pseudomonas viridiflava		KF485					PRJNA728054	SAMN19813349
GCA_019083835.1	ASM1908383v1	Pseudomonas viridiflava		U658					PRJNA728054	SAMN19813355
GCF_019083835.1	ASM1908383v1	Pseudomonas viridiflava		U658					PRJNA728054	SAMN19813355
GCA_022698325.1	ASM2269832v1	Pseudomonas viridiflava		UCD-PV1					PRJNA817822	SAMN26814321
GCF_022698325.1	ASM2269832v1	Pseudomonas viridiflava		UCD-PV1					PRJNA817822	SAMN26814321
GCA_900590535.1	p3.G5	Pseudomonas viridiflava					p3.G5		PRJEB24450	SAMEA104472789
GCF_900590535.1	p3.G5	Pseudomonas viridiflava					p3.G5		PRJEB24450	SAMEA104472789
GCA_900589065.1	p2.A10	Pseudomonas viridiflava					p2.A10		PRJEB24450	SAMEA104472643
GCF_900589065.1	p2.A10	Pseudomonas viridiflava					p2.A10		PRJEB24450	SAMEA104472643
GCA_900581435.1	p12.E1	Pseudomonas viridiflava					p12.E1		PRJEB24450	SAMEA104471883
GCF_900581435.1	p12.E1	Pseudomonas viridiflava					p12.E1		PRJEB24450	SAMEA104471883
GCA_900582905.1	p1.C12	Pseudomonas viridiflava					p1.C12		PRJEB24450	SAMEA104472023
GCF_900582905.1	p1.C12	Pseudomonas viridiflava					p1.C12		PRJEB24450	SAMEA104472023
GCA_900590685.1	p3.H8	Pseudomonas viridiflava					p3.H8		PRJEB24450	SAMEA104472799
GCF_900590685.1	p3.H8	Pseudomonas viridiflava					p3.H8		PRJEB24450	SAMEA104472799
GCA_900600995.1	p7.E12	Pseudomonas viridiflava					p7.E12		PRJEB24450	SAMEA104473084
GCF_900600995.1	p7.E12	Pseudomonas viridiflava					p7.E12		PRJEB24450	SAMEA104473084
GCA_900601025.1	p7.E1	Pseudomonas viridiflava					p7.E1		PRJEB24450	SAMEA104473085
GCF_900601025.1	p7.E1	Pseudomonas viridiflava					p7.E1		PRJEB24450	SAMEA104473085
GCA_900601445.1	p7.H8	Pseudomonas viridiflava					p7.H8		PRJEB24450	SAMEA104473123
GCF_900601445.1	p7.H8	Pseudomonas viridiflava					p7.H8		PRJEB24450	SAMEA104473123
GCA_900590305.1	p3.E2	Pseudomonas viridiflava					p3.E2		PRJEB24450	SAMEA104472767
GCF_900590305.1	p3.E2	Pseudomonas viridiflava					p3.E2		PRJEB24450	SAMEA104472767
GCA_900599335.1	p5.E2	Pseudomonas viridiflava					p5.E2		PRJEB24450	SAMEA104472922
GCF_900599335.1	p5.E2	Pseudomonas viridiflava					p5.E2		PRJEB24450	SAMEA104472922
GCA_900599735.1	p6.A10	Pseudomonas viridiflava					p6.A10		PRJEB24450	SAMEA104472960
GCF_900599735.1	p6.A10	Pseudomonas viridiflava					p6.A10		PRJEB24450	SAMEA104472960
GCA_900600475.1	p6.H10	Pseudomonas viridiflava					p6.H10		PRJEB24450	SAMEA104473030
GCF_900600475.1	p6.H10	Pseudomonas viridiflava					p6.H10		PRJEB24450	SAMEA104473030
GCA_900583415.1	p1.G8	Pseudomonas viridiflava					p1.G8		PRJEB24450	SAMEA104472071
GCF_900583415.1	p1.G8	Pseudomonas viridiflava					p1.G8		PRJEB24450	SAMEA104472071
GCA_900589555.1	p2.F12	Pseudomonas viridiflava					p2.F12		PRJEB24450	SAMEA104472694
GCF_900589555.1	p2.F12	Pseudomonas viridiflava					p2.F12		PRJEB24450	SAMEA104472694
GCA_900582375.1	p13.F6	Pseudomonas viridiflava					p13.F6		PRJEB24450	SAMEA104471976
