BioProject,dnaQ_cluster,mutL_cluster,mutS_cluster,mutT_cluster,mutY_cluster,uvrD_cluster,count
PRJDB10413,cluster2,cluster46,cluster142,cluster4,cluster73,cluster11,1
PRJDB10413,cluster2,cluster46,cluster84,cluster4,cluster73,cluster11,1
PRJDB10413,cluster39,cluster46,cluster82,cluster59,cluster54,cluster4,1
PRJDB11119,cluster2,cluster11,cluster11,cluster15,cluster16,cluster4,1
PRJDB12880,cluster7,cluster36,cluster5,cluster8,cluster64,cluster5,1
PRJDB13023,cluster7,cluster186,cluster8,cluster8,cluster64,cluster123,1
PRJDB13024,cluster7,cluster36,cluster162,cluster8,cluster64,cluster97,1
PRJDB6661,cluster106,cluster172,cluster8,cluster8,cluster8,cluster5,1
PRJDB6661,cluster12,cluster5,cluster8,cluster8,cluster14,cluster5,1
PRJDB9457,cluster29,cluster39,cluster42,cluster40,cluster36,cluster27,1
PRJDB9457,cluster64,cluster129,cluster148,cluster103,cluster102,cluster67,1
PRJDB9457,cluster64,cluster130,cluster120,cluster103,cluster126,cluster67,1
PRJDB9457,cluster64,cluster131,cluster120,cluster103,cluster96,cluster67,1
PRJDB9457,cluster81,cluster132,cluster149,cluster137,cluster36,cluster91,1
PRJDB9457,cluster82,cluster133,cluster120,cluster103,cluster96,cluster67,1
PRJDB9457,cluster83,cluster39,cluster42,cluster40,cluster109,cluster27,1
PRJDB9457,cluster84,cluster134,cluster150,cluster138,cluster127,cluster92,1
PRJDB9457,cluster84,cluster135,cluster151,cluster139,cluster128,cluster93,1
PRJEB15992,cluster37,cluster121,cluster138,cluster129,cluster118,cluster85,1
PRJEB16115,cluster13,cluster15,cluster18,cluster197,cluster162,cluster13,1
PRJEB16238,cluster29,cluster39,cluster42,cluster40,cluster36,cluster27,1
PRJEB16445,cluster5,cluster6,cluster204,cluster6,cluster6,cluster6,1
PRJEB16547,cluster116,cluster196,cluster215,cluster196,cluster161,cluster130,1
PRJEB16566,cluster10,cluster8,cluster118,cluster104,cluster99,cluster5,1
PRJEB17159,cluster8,cluster9,cluster10,cluster150,cluster20,cluster6,1
PRJEB17212,cluster8,cluster9,cluster10,cluster150,cluster20,cluster6,1
PRJEB17336,cluster8,cluster42,cluster216,cluster89,cluster76,cluster6,1
PRJEB17346,cluster8,cluster197,cluster217,cluster89,cluster20,cluster6,1
PRJEB17468,cluster116,cluster196,cluster215,cluster196,cluster161,cluster130,1
PRJEB18419,cluster117,cluster198,cluster218,cluster198,cluster163,cluster131,1
PRJEB20965,cluster18,cluster192,cluster153,cluster199,cluster19,cluster18,1
PRJEB23287,cluster1,cluster67,cluster85,cluster78,cluster59,cluster45,1
PRJEB23287,cluster118,cluster80,cluster85,cluster78,cluster59,cluster45,2
PRJEB23287,cluster2,cluster46,cluster80,cluster76,cluster71,cluster11,1
PRJEB23287,cluster2,cluster46,cluster83,cluster77,cluster11,cluster4,1
PRJEB23287,cluster4,cluster199,cluster5,cluster5,cluster164,cluster5,1
PRJEB23287,cluster5,cluster3,cluster27,cluster100,cluster3,cluster62,1
PRJEB23287,cluster59,cluster161,cluster178,cluster3,cluster145,cluster3,1
PRJEB24450,cluster10,cluster207,cluster50,cluster209,cluster59,cluster143,9
