BioProject,dnaQ_cluster,mutL_cluster,mutS_cluster,mutT_cluster,mutY_cluster,uvrD_cluster,count
PRJEB20965,cluster3,cluster20,cluster13,cluster29,cluster1,cluster3,1
PRJEB24450,cluster1,cluster48,cluster63,cluster24,cluster43,cluster1,2
PRJEB24450,cluster12,cluster61,cluster18,cluster1,cluster1,cluster46,1
PRJEB24450,cluster13,cluster21,cluster15,cluster15,cluster2,cluster3,156
PRJEB24450,cluster13,cluster21,none,cluster15,cluster2,cluster3,1
PRJEB24450,cluster13,cluster4,cluster15,cluster26,cluster2,cluster3,112
PRJEB24450,cluster13,cluster4,cluster15,cluster34,cluster1,cluster3,6
PRJEB24450,cluster13,cluster4,cluster74,cluster26,cluster2,cluster3,11
PRJEB24450,cluster13,cluster5,cluster21,cluster15,cluster2,cluster3,22
PRJEB24450,cluster13,cluster5,cluster41,cluster26,cluster2,cluster3,2
PRJEB24450,cluster16,cluster4,cluster15,cluster72,cluster1,cluster3,1
PRJEB24450,cluster18,cluster20,cluster30,cluster108,cluster12,cluster3,1
PRJEB24450,cluster18,cluster4,cluster13,cluster15,cluster1,cluster3,17
PRJEB24450,cluster18,cluster4,cluster6,cluster15,cluster1,cluster3,2
PRJEB24450,cluster19,cluster26,cluster27,cluster30,cluster14,cluster14,2
PRJEB24450,cluster20,cluster27,cluster31,cluster32,cluster16,cluster17,1
PRJEB24450,cluster20,cluster27,cluster31,cluster37,cluster19,cluster17,9
PRJEB24450,cluster20,cluster44,cluster31,cluster56,cluster39,cluster17,1
PRJEB24450,cluster20,cluster45,cluster59,cluster57,cluster40,cluster35,1
PRJEB24450,cluster20,cluster52,cluster125,cluster57,cluster87,cluster71,1
PRJEB24450,cluster20,cluster64,cluster85,cluster84,cluster48,cluster48,1
PRJEB24450,cluster20,cluster88,cluster112,cluster113,cluster48,cluster17,1
PRJEB24450,cluster21,cluster28,cluster32,cluster33,cluster17,cluster18,1
PRJEB24450,cluster21,cluster28,cluster38,cluster33,cluster22,cluster18,2
PRJEB24450,cluster22,cluster29,cluster33,cluster35,cluster18,cluster19,1
PRJEB24450,cluster22,cluster29,cluster71,cluster35,cluster18,cluster19,5
PRJEB24450,cluster23,cluster30,cluster121,cluster119,cluster83,cluster20,1
PRJEB24450,cluster23,cluster30,cluster36,cluster38,cluster20,cluster20,7
PRJEB24450,cluster24,cluster31,cluster37,cluster39,cluster21,cluster21,1
PRJEB24450,cluster25,cluster32,cluster39,cluster40,cluster23,cluster22,1
PRJEB24450,cluster26,cluster33,cluster40,cluster41,cluster24,cluster23,5
PRJEB24450,cluster27,cluster34,cluster42,cluster42,cluster25,cluster24,4
PRJEB24450,cluster27,cluster34,cluster43,cluster43,cluster26,cluster25,1
PRJEB24450,cluster27,cluster34,cluster44,cluster44,cluster27,cluster26,1
PRJEB24450,cluster27,cluster71,cluster44,cluster105,cluster26,cluster62,1
PRJEB24450,cluster27,cluster71,cluster91,cluster44,cluster26,cluster25,5
PRJEB24450,cluster28,cluster35,cluster45,cluster45,cluster28,cluster27,2
PRJEB24450,cluster29,cluster36,cluster46,cluster46,cluster29,cluster28,1
PRJEB24450,cluster3,cluster1,cluster1,cluster31,cluster15,cluster16,20
PRJEB24450,cluster3,cluster1,cluster11,cluster13,cluster6,cluster3,3
PRJEB24450,cluster3,cluster1,cluster34,cluster1,cluster15,cluster3,119
PRJEB24450,cluster3,cluster1,cluster48,cluster31,cluster31,cluster30,2
PRJEB24450,cluster3,cluster1,cluster48,cluster98,cluster1,cluster1,2
PRJEB24450,cluster3,cluster1,cluster52,cluster13,cluster6,cluster3,11
PRJEB24450,cluster3,cluster1,cluster57,cluster54,cluster38,cluster3,3
PRJEB24450,cluster3,cluster1,cluster57,cluster68,cluster15,cluster1,8
PRJEB24450,cluster3,cluster1,none,cluster1,cluster15,cluster3,1
PRJEB24450,cluster3,cluster10,cluster10,cluster121,cluster1,cluster3,1
PRJEB24450,cluster3,cluster13,cluster10,cluster19,cluster1,cluster9,22
PRJEB24450,cluster3,cluster13,cluster66,cluster63,cluster1,cluster3,1
PRJEB24450,cluster3,cluster2,cluster113,cluster114,cluster8,cluster3,1
PRJEB24450,cluster3,cluster2,cluster15,cluster17,cluster1,cluster3,1
PRJEB24450,cluster3,cluster20,cluster15,cluster26,cluster8,cluster3,22
PRJEB24450,cluster3,cluster20,cluster15,cluster29,cluster1,cluster3,11
PRJEB24450,cluster3,cluster20,cluster15,cluster55,cluster8,cluster3,4
PRJEB24450,cluster3,cluster20,cluster30,cluster17,cluster12,cluster3,30
PRJEB24450,cluster3,cluster20,cluster30,cluster17,cluster8,cluster15,19
PRJEB24450,cluster3,cluster20,cluster30,cluster36,cluster12,cluster3,40
PRJEB24450,cluster3,cluster20,cluster30,cluster53,cluster1,cluster15,39
PRJEB24450,cluster3,cluster20,cluster30,cluster53,cluster12,cluster3,14
PRJEB24450,cluster3,cluster20,cluster35,cluster17,cluster8,cluster15,10
PRJEB24450,cluster3,cluster20,cluster35,cluster36,cluster12,cluster3,1
PRJEB24450,cluster3,cluster20,cluster51,cluster26,cluster1,cluster3,13
PRJEB24450,cluster3,cluster21,cluster15,cluster26,cluster2,cluster3,17
PRJEB24450,cluster3,cluster37,cluster6,cluster16,cluster1,cluster3,2
PRJEB24450,cluster3,cluster4,cluster117,cluster15,cluster2,cluster3,1
PRJEB24450,cluster3,cluster4,cluster13,cluster69,cluster49,cluster3,2
PRJEB24450,cluster3,cluster4,cluster13,cluster74,cluster49,cluster3,16
PRJEB24450,cluster3,cluster4,cluster15,cluster103,cluster2,cluster1,2
PRJEB24450,cluster3,cluster4,cluster15,cluster14,cluster2,cluster3,146
PRJEB24450,cluster3,cluster4,cluster15,cluster26,cluster2,cluster1,1
PRJEB24450,cluster3,cluster4,cluster15,cluster53,cluster8,cluster3,3
PRJEB24450,cluster3,cluster4,cluster29,cluster14,cluster2,cluster3,151
PRJEB24450,cluster3,cluster4,cluster30,cluster95,cluster8,cluster3,2
PRJEB24450,cluster3,cluster4,cluster52,cluster22,cluster2,cluster1,9
PRJEB24450,cluster3,cluster4,cluster6,cluster17,cluster8,cluster3,19
PRJEB24450,cluster3,cluster4,cluster6,cluster66,cluster49,cluster15,3
PRJEB24450,cluster3,cluster4,cluster6,cluster74,cluster49,cluster3,7
PRJEB24450,cluster3,cluster4,none,cluster14,cluster2,cluster3,2
PRJEB24450,cluster3,cluster42,cluster1,cluster1,cluster1,cluster3,2
PRJEB24450,cluster3,cluster43,cluster6,cluster52,cluster36,cluster3,1
PRJEB24450,cluster3,cluster48,cluster120,cluster1,cluster1,cluster3,1
PRJEB24450,cluster3,cluster48,cluster75,cluster1,cluster1,cluster3,22
PRJEB24450,cluster3,cluster5,cluster1,cluster1,cluster1,cluster3,1
PRJEB24450,cluster3,cluster5,cluster1,cluster1,cluster1,cluster7,7
PRJEB24450,cluster3,cluster5,cluster1,cluster1,cluster15,cluster41,14
PRJEB24450,cluster3,cluster5,cluster1,cluster31,cluster8,cluster7,9
PRJEB24450,cluster3,cluster5,cluster28,cluster1,cluster1,cluster7,6
PRJEB24450,cluster3,cluster5,cluster28,cluster31,cluster8,cluster7,9
PRJEB24450,cluster3,cluster5,cluster58,cluster31,cluster1,cluster1,12
PRJEB24450,cluster3,cluster5,cluster78,cluster13,cluster1,cluster3,2
PRJEB24450,cluster3,cluster5,cluster82,cluster81,cluster1,cluster3,2
PRJEB24450,cluster3,cluster6,cluster13,cluster53,cluster8,cluster3,18
PRJEB24450,cluster3,cluster6,cluster17,cluster26,cluster1,cluster3,10
PRJEB24450,cluster3,cluster6,cluster2,cluster26,cluster1,cluster3,3
PRJEB24450,cluster3,cluster6,cluster6,cluster53,cluster8,cluster3,4
PRJEB24450,cluster3,cluster6,cluster81,cluster53,cluster8,cluster3,1
PRJEB24450,cluster3,cluster68,cluster1,cluster88,cluster15,cluster50,2
PRJEB24450,cluster3,cluster74,cluster15,cluster15,cluster2,cluster3,3
PRJEB24450,cluster3,cluster77,cluster10,cluster10,cluster66,cluster3,4
PRJEB24450,cluster3,cluster85,cluster11,cluster31,cluster1,cluster3,1
PRJEB24450,cluster30,cluster38,cluster47,cluster47,cluster30,cluster29,15
PRJEB24450,cluster30,cluster84,cluster105,cluster106,cluster30,cluster63,2
PRJEB24450,cluster31,cluster39,cluster49,cluster48,cluster32,cluster31,1
PRJEB24450,cluster31,cluster72,cluster92,cluster91,cluster62,cluster52,1
PRJEB24450,cluster31,cluster76,cluster103,cluster102,cluster73,cluster55,3
PRJEB24450,cluster31,cluster76,cluster95,cluster94,cluster65,cluster55,1
PRJEB24450,cluster32,cluster40,cluster50,cluster49,cluster33,cluster32,1
PRJEB24450,cluster33,cluster41,cluster54,cluster50,cluster34,cluster33,1
PRJEB24450,cluster34,cluster39,cluster55,cluster51,cluster35,cluster34,1
PRJEB24450,cluster35,cluster28,cluster38,cluster33,cluster37,cluster18,3
PRJEB24450,cluster36,cluster46,cluster60,cluster58,cluster41,cluster36,1
PRJEB24450,cluster37,cluster46,cluster60,cluster58,cluster41,cluster36,2
PRJEB24450,cluster37,cluster58,cluster60,cluster76,cluster55,cluster36,1
PRJEB24450,cluster37,cluster59,cluster60,cluster77,cluster56,cluster36,2
PRJEB24450,cluster38,cluster1,cluster107,cluster31,cluster1,cluster3,1
PRJEB24450,cluster38,cluster1,cluster48,cluster31,cluster1,cluster3,3
PRJEB24450,cluster39,cluster47,cluster61,cluster59,cluster42,cluster37,5
PRJEB24450,cluster40,cluster42,cluster62,cluster60,cluster1,cluster3,22
PRJEB24450,cluster41,cluster49,cluster64,cluster61,cluster44,cluster38,1
PRJEB24450,cluster42,cluster47,cluster65,cluster62,cluster45,cluster37,2
PRJEB24450,cluster43,cluster50,cluster67,cluster64,cluster46,cluster39,2
PRJEB24450,cluster44,cluster51,cluster68,cluster65,cluster47,cluster40,4
PRJEB24450,cluster45,cluster20,cluster13,cluster26,cluster8,cluster3,16
PRJEB24450,cluster46,cluster52,cluster69,cluster57,cluster48,cluster35,1
PRJEB24450,cluster46,cluster52,cluster96,cluster57,cluster48,cluster35,4
PRJEB24450,cluster47,cluster53,cluster70,cluster67,cluster50,cluster28,1
PRJEB24450,cluster48,cluster1,cluster11,cluster1,cluster1,cluster3,1
PRJEB24450,cluster49,cluster54,cluster72,cluster70,cluster51,cluster36,2
PRJEB24450,cluster49,cluster62,cluster80,cluster80,cluster51,cluster36,1
PRJEB24450,cluster50,cluster55,cluster73,cluster71,cluster52,cluster42,1
PRJEB24450,cluster51,cluster56,cluster76,cluster73,cluster53,cluster43,1
PRJEB24450,cluster52,cluster57,cluster77,cluster75,cluster54,cluster44,1
PRJEB24450,cluster53,cluster60,cluster79,cluster78,cluster57,cluster45,4
PRJEB24450,cluster53,cluster60,cluster83,cluster82,cluster57,cluster45,1
PRJEB24450,cluster54,cluster4,cluster29,cluster14,cluster2,cluster3,1
PRJEB24450,cluster55,cluster4,cluster15,cluster26,cluster2,cluster3,1
PRJEB24450,cluster56,cluster63,cluster84,cluster83,cluster58,cluster47,1
PRJEB24450,cluster57,cluster65,cluster86,cluster85,cluster59,cluster36,1
PRJEB24450,cluster58,cluster66,cluster87,cluster86,cluster60,cluster49,2
PRJEB24450,cluster58,cluster73,cluster93,cluster92,cluster63,cluster53,1
PRJEB24450,cluster58,cluster86,cluster106,cluster107,cluster75,cluster49,1
PRJEB24450,cluster58,cluster86,cluster109,cluster110,cluster77,cluster49,1
PRJEB24450,cluster59,cluster67,cluster88,cluster87,cluster46,cluster39,1
PRJEB24450,cluster60,cluster69,cluster89,cluster89,cluster61,cluster51,1
PRJEB24450,cluster61,cluster70,cluster90,cluster90,cluster21,cluster21,1
PRJEB24450,cluster62,cluster75,cluster94,cluster93,cluster64,cluster54,5
PRJEB24450,cluster62,cluster87,cluster111,cluster111,cluster79,cluster54,1
PRJEB24450,cluster63,cluster78,cluster97,cluster33,cluster67,cluster18,3
PRJEB24450,cluster64,cluster79,cluster98,cluster96,cluster68,cluster56,1
PRJEB24450,cluster65,cluster4,cluster15,cluster26,cluster2,cluster57,1
PRJEB24450,cluster66,cluster80,cluster99,cluster97,cluster69,cluster58,1
PRJEB24450,cluster67,cluster81,cluster100,cluster99,cluster70,cluster59,3
PRJEB24450,cluster67,cluster81,cluster108,cluster109,cluster76,cluster64,1
PRJEB24450,cluster68,cluster82,cluster101,cluster100,cluster71,cluster60,1
PRJEB24450,cluster69,cluster83,cluster102,cluster101,cluster72,cluster61,1
PRJEB24450,cluster7,cluster42,cluster118,cluster117,cluster15,cluster3,1
PRJEB24450,cluster70,cluster30,cluster104,cluster104,cluster74,cluster20,1
PRJEB24450,cluster71,cluster86,cluster110,cluster86,cluster78,cluster49,1
PRJEB24450,cluster72,cluster84,cluster105,cluster112,cluster30,cluster63,1
PRJEB24450,cluster72,cluster84,cluster105,cluster112,cluster30,cluster67,1
PRJEB24450,cluster73,cluster64,cluster114,cluster115,cluster80,cluster17,1
PRJEB24450,cluster74,cluster89,cluster115,cluster116,cluster81,cluster65,1
PRJEB24450,cluster75,cluster90,cluster116,cluster99,cluster70,cluster59,1
PRJEB24450,cluster76,cluster91,cluster119,cluster118,cluster82,cluster66,1
PRJEB24450,cluster77,cluster92,cluster122,cluster120,cluster84,cluster68,2
PRJEB24450,cluster78,cluster93,cluster123,cluster122,cluster85,cluster69,1
PRJEB24450,cluster79,cluster94,cluster124,cluster123,cluster86,cluster70,1
PRJEB24450,cluster8,cluster4,cluster13,cluster79,cluster49,cluster3,1
PRJEB24450,cluster8,cluster4,cluster53,cluster17,cluster1,cluster3,2
PRJEB24450,cluster8,cluster4,cluster56,cluster17,cluster1,cluster3,30
PRJEB24450,none,cluster38,cluster47,cluster47,cluster30,cluster29,1
PRJNA1003870,cluster3,cluster4,cluster15,cluster14,cluster2,cluster3,2
PRJNA1041598,cluster3,cluster13,cluster10,cluster10,cluster1,cluster3,2
PRJNA1041598,cluster3,cluster19,cluster18,cluster1,cluster6,cluster3,1
PRJNA1070346,cluster13,cluster22,cluster21,cluster26,cluster2,cluster3,1
PRJNA1070346,cluster13,cluster4,cluster15,cluster26,cluster2,cluster3,1
PRJNA1070346,cluster14,cluster13,cluster11,cluster27,cluster1,cluster3,1
PRJNA1070346,cluster15,cluster13,cluster23,cluster1,cluster8,cluster11,1
PRJNA1070346,cluster16,cluster24,cluster25,cluster12,cluster1,cluster3,1
PRJNA1070346,cluster3,cluster1,cluster12,cluster23,cluster1,cluster3,10
PRJNA1070346,cluster3,cluster1,cluster20,cluster24,cluster11,cluster3,1
PRJNA1070346,cluster3,cluster1,cluster22,cluster1,cluster1,cluster3,4
PRJNA1070346,cluster3,cluster20,cluster17,cluster17,cluster12,cluster3,1
PRJNA1070346,cluster3,cluster20,cluster24,cluster17,cluster1,cluster3,1
PRJNA1070346,cluster3,cluster21,cluster15,cluster22,cluster2,cluster1,1
PRJNA1070346,cluster3,cluster23,cluster13,cluster6,cluster1,cluster3,1
PRJNA1070346,cluster3,cluster4,cluster15,cluster17,cluster1,cluster3,1
PRJNA1070346,cluster3,cluster4,cluster19,cluster16,cluster8,cluster3,1
PRJNA1070346,cluster3,cluster4,cluster21,cluster26,cluster1,cluster3,1
PRJNA1070346,cluster3,cluster4,cluster4,cluster25,cluster2,cluster3,1
PRJNA1070346,cluster3,cluster5,cluster11,cluster13,cluster1,cluster1,4
PRJNA1070346,cluster3,cluster5,cluster15,cluster13,cluster1,cluster12,1
PRJNA1070346,cluster3,cluster5,cluster15,cluster22,cluster2,cluster1,1
PRJNA1119364,cluster17,cluster25,cluster26,cluster28,cluster13,cluster13,1
PRJNA19911,cluster1,cluster1,cluster1,cluster1,cluster1,cluster1,1
PRJNA211420,cluster3,cluster3,cluster3,cluster3,cluster1,cluster3,1
PRJNA211421,cluster2,cluster2,cluster2,cluster2,cluster1,cluster2,1
PRJNA263532,cluster1,cluster1,cluster1,cluster1,cluster1,cluster1,1
PRJNA270634,cluster3,cluster4,cluster4,cluster4,cluster2,cluster3,1
PRJNA292453,cluster1,cluster1,cluster1,cluster1,cluster1,cluster1,1
PRJNA292453,cluster5,cluster8,cluster8,cluster8,cluster4,cluster5,1
PRJNA292453,cluster5,cluster8,none,cluster8,cluster4,cluster5,1
PRJNA292453,cluster6,cluster9,cluster9,cluster9,cluster5,cluster6,1
PRJNA295884,cluster4,cluster7,cluster7,cluster7,cluster3,cluster4,1
PRJNA296742,cluster1,cluster1,cluster1,cluster1,cluster1,cluster1,1
PRJNA329466,cluster3,cluster5,cluster5,cluster5,cluster1,cluster3,1
PRJNA407797,cluster3,cluster6,cluster6,cluster6,cluster1,cluster3,1
PRJNA459504,cluster3,cluster10,cluster10,cluster10,cluster1,cluster3,1
PRJNA459519,cluster3,cluster10,cluster10,cluster10,cluster1,cluster3,1
PRJNA524303,cluster2,cluster2,cluster17,cluster2,cluster1,cluster2,1
PRJNA576872,cluster7,cluster11,cluster11,cluster1,cluster6,cluster7,1
PRJNA606080,cluster6,cluster12,cluster9,cluster11,cluster7,cluster8,1
PRJNA665156,cluster3,cluster13,cluster10,cluster10,cluster1,cluster3,2
PRJNA680595,cluster3,cluster14,cluster12,cluster12,cluster1,cluster3,1
PRJNA680595,cluster3,cluster4,cluster13,cluster13,cluster1,cluster3,2
PRJNA680595,cluster7,cluster1,cluster11,cluster1,cluster1,cluster3,4
PRJNA728054,cluster10,cluster17,cluster10,cluster19,cluster1,cluster9,1
PRJNA728054,cluster11,cluster4,cluster15,cluster20,cluster1,cluster3,1
PRJNA728054,cluster3,cluster15,cluster6,cluster16,cluster1,cluster3,1
PRJNA728054,cluster3,cluster16,cluster10,cluster18,cluster1,cluster9,1
PRJNA728054,cluster3,cluster4,cluster14,cluster14,cluster2,cluster3,1
PRJNA728054,cluster3,cluster4,cluster15,cluster16,cluster1,cluster3,1
PRJNA728054,cluster8,cluster2,cluster6,cluster15,cluster1,cluster3,1
PRJNA728054,cluster9,cluster4,cluster15,cluster17,cluster8,cluster3,1
PRJNA750090,cluster3,cluster5,cluster12,cluster12,cluster9,cluster3,1
PRJNA755448,cluster3,cluster4,cluster6,cluster21,cluster10,cluster3,1
PRJNA817822,cluster3,cluster18,cluster6,cluster17,cluster1,cluster3,1
PRJNA836746,cluster12,cluster10,cluster16,cluster1,cluster1,cluster10,1
