BioProject,dnaQ_cluster,mutL_cluster,mutS_cluster,mutT_cluster,mutY_cluster,uvrD_cluster,count
PRJEB6503,cluster1,cluster1,cluster2,cluster2,cluster2,cluster2,1
PRJNA1142166,cluster1,cluster1,cluster1,cluster1,cluster1,cluster1,1
PRJNA12416,cluster1,cluster1,cluster1,cluster1,cluster1,cluster1,1
PRJNA251981,cluster1,cluster1,cluster2,cluster2,cluster2,cluster2,1
PRJNA274668,cluster1,cluster1,cluster2,cluster2,cluster2,cluster2,1
PRJNA284853,cluster2,cluster2,cluster3,cluster2,cluster1,cluster3,1
PRJNA284855,cluster2,cluster2,cluster3,cluster2,cluster1,cluster3,1
PRJNA285209,cluster2,cluster2,cluster3,cluster2,cluster1,cluster3,1
PRJNA285232,cluster2,cluster2,cluster3,cluster2,cluster1,cluster3,1
PRJNA287071,cluster1,cluster1,cluster1,cluster1,cluster1,cluster1,1
PRJNA287072,cluster1,cluster1,cluster1,cluster1,cluster1,cluster1,1
PRJNA287073,cluster1,cluster1,cluster1,cluster1,cluster1,cluster1,1
PRJNA287074,cluster1,cluster1,cluster5,cluster3,cluster1,cluster4,1
PRJNA287079,cluster1,cluster1,cluster2,cluster2,cluster2,cluster2,1
PRJNA287460,cluster1,cluster1,cluster2,cluster2,cluster2,cluster6,1
PRJNA287460,cluster3,cluster1,cluster2,cluster2,cluster2,cluster2,1
PRJNA292453,cluster1,cluster1,cluster1,cluster1,cluster1,cluster1,4
PRJNA292453,cluster1,cluster1,cluster2,cluster2,cluster2,cluster2,1
PRJNA292453,cluster1,cluster1,cluster2,cluster2,cluster2,cluster6,3
PRJNA292453,cluster1,cluster1,cluster6,cluster1,cluster1,cluster1,1
PRJNA292453,cluster1,cluster1,none,cluster2,cluster2,cluster2,1
PRJNA292453,cluster1,cluster1,none,cluster2,cluster4,cluster8,1
PRJNA292453,cluster1,cluster7,cluster1,cluster5,cluster1,cluster9,1
PRJNA292453,cluster1,cluster9,cluster12,cluster7,cluster2,cluster5,1
PRJNA292453,cluster2,cluster2,cluster3,cluster2,cluster1,cluster3,4
PRJNA292453,cluster3,cluster1,cluster10,cluster2,cluster5,cluster1,2
PRJNA292453,cluster3,cluster1,cluster2,cluster2,cluster2,cluster2,1
PRJNA292453,cluster5,cluster8,cluster11,cluster6,none,cluster10,1
PRJNA292453,cluster6,cluster10,cluster13,cluster8,cluster6,cluster11,1
PRJNA292453,cluster7,cluster1,cluster1,cluster2,cluster1,cluster1,1
PRJNA295867,cluster4,cluster3,cluster7,cluster4,cluster3,cluster5,1
PRJNA381903,cluster1,cluster1,cluster8,cluster2,cluster2,cluster2,1
PRJNA388451,cluster1,cluster1,cluster2,cluster2,cluster2,cluster6,1
PRJNA388575,cluster3,cluster4,cluster9,cluster2,cluster2,cluster7,1
PRJNA388634,cluster3,cluster4,cluster2,cluster2,cluster2,cluster2,1
PRJNA41887,cluster1,cluster1,cluster2,cluster2,cluster2,cluster2,1
PRJNA481030,cluster1,cluster1,cluster1,cluster1,cluster1,cluster1,22
PRJNA481030,cluster1,cluster5,cluster1,cluster1,cluster1,cluster1,1
PRJNA481030,cluster1,cluster6,cluster1,cluster1,cluster1,cluster1,1
PRJNA481030,cluster1,none,cluster1,cluster1,cluster1,cluster1,1
PRJNA484265,cluster1,cluster1,cluster2,cluster2,cluster2,cluster2,1
PRJNA491790,cluster1,cluster11,cluster14,cluster9,cluster7,cluster5,1
PRJNA51517,cluster2,cluster2,cluster3,cluster2,cluster1,cluster3,1
PRJNA51519,none,cluster2,cluster4,cluster2,cluster1,cluster3,1
PRJNA598713,cluster1,cluster1,cluster1,cluster1,cluster1,cluster1,1
PRJNA598713,cluster3,cluster1,cluster10,cluster2,cluster5,cluster1,1
PRJNA603636,cluster1,cluster7,cluster1,cluster5,cluster1,cluster9,2
PRJNA635552,cluster1,cluster1,cluster2,cluster2,cluster2,cluster2,1
PRJNA638121,cluster1,cluster1,cluster2,cluster2,cluster2,cluster2,1
PRJNA736824,cluster1,cluster12,cluster15,cluster10,cluster8,cluster12,1
PRJNA748252,cluster1,cluster2,cluster16,cluster11,cluster9,cluster5,1
PRJNA748252,cluster3,cluster2,cluster4,cluster2,cluster1,cluster3,1
PRJNA748252,cluster3,cluster4,cluster2,cluster2,cluster2,cluster2,1
PRJNA952184,cluster1,cluster1,cluster1,cluster1,cluster1,cluster1,1
PRJNA952184,cluster1,cluster1,cluster1,cluster1,cluster1,cluster13,1
