Assembly Accession	Assembly Name	Organism Name	Organism Infraspecific Names Breed	Organism Infraspecific Names Strain	Organism Infraspecific Names Cultivar	Organism Infraspecific Names Ecotype	Organism Infraspecific Names Isolate	Organism Infraspecific Names Sex	Assembly BioProject Accession	Assembly BioSample Accession
GCA_900475945.1	48290_E02	Pseudomonas mucidolens		NCTC8068					PRJEB6403	SAMEA4040591
GCF_900475945.1	48290_E02	Pseudomonas mucidolens		NCTC8068					PRJEB6403	SAMEA4040591
GCA_014268695.2	ASM1426869v2	Pseudomonas ogarae		SWRI108					PRJNA639797	SAMN15248336
GCF_014268695.2	ASM1426869v2	Pseudomonas ogarae		SWRI108					PRJNA639797	SAMN15248336
GCA_001654515.1	ASM165451v1	Pseudomonas koreensis		CRS05-R5					PRJNA322127	SAMN05017671
GCF_001654515.1	ASM165451v1	Pseudomonas koreensis		CRS05-R5					PRJNA322127	SAMN05017671
GCA_002028325.1	ASM202832v1	Pseudomonas veronii		R02					PRJNA355625	SAMN06076152
GCF_002028325.1	ASM202832v1	Pseudomonas veronii		R02					PRJNA355625	SAMN06076152
GCA_034011435.1	ASM3401143v1	Pseudomonas marginalis		PS92					PRJNA956831	SAMN34316553
GCF_034011435.1	ASM3401143v1	Pseudomonas marginalis		PS92					PRJNA956831	SAMN34316553
GCA_001708425.1	ASM170842v1	Pseudomonas corrugata		RM1-1-4					PRJNA309490	SAMN04453325
GCF_001708425.1	ASM170842v1	Pseudomonas corrugata		RM1-1-4					PRJNA309490	SAMN04453325
GCA_003851555.1	ASM385155v1	Pseudomonas synxantha		R6-28-08					PRJNA433211	SAMN08359174
GCF_003851555.1	ASM385155v1	Pseudomonas synxantha		R6-28-08					PRJNA433211	SAMN08359174
GCA_000336465.1	ASM33646v1	Pseudomonas poae RE*1-1-14		RE*1-1-14					PRJNA186492	SAMN02603296
GCF_000336465.1	ASM33646v1	Pseudomonas poae RE*1-1-14		RE*1-1-14					PRJNA186492	SAMN02603296
GCA_013285305.1	ASM1328530v1	Pseudomonas rhodesiae		NL2019					PRJNA635762	SAMN15052423
GCF_013285305.1	ASM1328530v1	Pseudomonas rhodesiae		NL2019					PRJNA635762	SAMN15052423
GCA_030370465.1	ASM3037046v1	Pseudomonas brenneri		K5-sn1400					PRJNA947917	SAMN33900386
GCF_030370465.1	ASM3037046v1	Pseudomonas brenneri		K5-sn1400					PRJNA947917	SAMN33900386
GCA_024584605.1	ASM2458460v1	Pseudomonas extremorientalis		1502IPR-01					PRJNA788188	SAMN23929711
GCF_024584605.1	ASM2458460v1	Pseudomonas extremorientalis		1502IPR-01					PRJNA788188	SAMN23929711
GCA_003852045.1	ASM385204v1	Pseudomonas orientalis		8B					PRJNA433211	SAMN08359171
