BioProject,dnaQ_cluster,mutL_cluster,mutS_cluster,mutT_cluster,mutY_cluster,uvrD_cluster,count
PRJDB10089,cluster2,cluster1,cluster14,cluster20,cluster5,cluster1,1
PRJDB10089,cluster9,cluster20,cluster19,cluster19,cluster5,cluster1,1
PRJDB11228,cluster4,cluster8,cluster7,cluster11,cluster15,cluster1,1
PRJDB1527,cluster2,cluster3,cluster1,cluster2,cluster2,cluster2,1
PRJEB28440,cluster2,cluster2,cluster1,cluster1,cluster1,cluster1,1
PRJNA1017673,cluster2,cluster1,cluster26,cluster12,cluster5,cluster1,1
PRJNA1026865,cluster10,cluster26,cluster27,cluster5,cluster12,cluster1,1
PRJNA1063034,cluster2,cluster3,cluster18,cluster2,cluster5,cluster1,1
PRJNA231221,cluster1,cluster1,cluster1,cluster1,cluster1,cluster1,1
PRJNA283457,cluster3,cluster4,cluster2,cluster3,cluster3,cluster3,1
PRJNA283458,cluster3,cluster5,cluster3,cluster1,cluster4,cluster1,1
PRJNA290438,cluster1,cluster1,cluster1,cluster1,cluster1,cluster1,1
PRJNA290438,cluster2,cluster1,cluster1,cluster4,cluster5,cluster1,1
PRJNA290438,cluster2,cluster2,cluster1,cluster1,cluster1,cluster1,1
PRJNA290438,cluster2,cluster6,cluster4,cluster4,cluster1,cluster4,1
PRJNA301182,cluster2,cluster2,cluster1,cluster1,cluster5,cluster1,1
PRJNA315258,cluster4,cluster8,cluster7,cluster5,cluster7,cluster6,1
PRJNA315261,cluster4,cluster9,cluster7,cluster6,cluster7,cluster7,1
PRJNA327,cluster1,cluster1,cluster1,cluster1,cluster1,cluster1,1
PRJNA327129,cluster1,cluster7,cluster5,cluster1,cluster6,cluster1,1
PRJNA327131,cluster1,cluster7,cluster5,cluster1,cluster6,cluster1,1
PRJNA342848,cluster1,cluster1,cluster1,cluster12,cluster5,cluster1,1
PRJNA342848,cluster1,cluster14,cluster11,cluster1,cluster6,cluster1,1
PRJNA342848,cluster2,cluster1,cluster1,cluster4,cluster1,cluster1,1
PRJNA342848,cluster2,cluster2,cluster10,cluster1,cluster5,cluster1,2
PRJNA342848,cluster4,cluster9,cluster7,cluster5,cluster7,cluster12,3
PRJNA356314,cluster1,cluster7,cluster6,cluster1,cluster6,cluster5,1
PRJNA356317,cluster1,cluster7,cluster6,cluster1,cluster6,cluster1,1
PRJNA356318,cluster1,cluster7,cluster6,cluster1,cluster6,cluster1,1
PRJNA356319,cluster1,cluster7,cluster6,cluster1,cluster6,cluster1,1
PRJNA376580,cluster2,cluster12,cluster1,cluster10,cluster1,cluster1,1
PRJNA401090,cluster6,cluster16,cluster1,cluster14,cluster5,cluster1,1
PRJNA421056,cluster5,cluster15,cluster13,cluster7,cluster13,cluster9,1
PRJNA428890,cluster1,cluster1,cluster1,cluster1,cluster8,cluster8,1
PRJNA429978,cluster2,cluster10,cluster4,cluster1,cluster1,cluster1,1
PRJNA435479,cluster5,cluster11,cluster8,cluster7,cluster9,cluster9,1
PRJNA473919,cluster2,cluster2,cluster1,cluster1,cluster1,cluster1,1
PRJNA474049,cluster4,cluster9,cluster7,cluster8,cluster10,cluster10,1
PRJNA474049,cluster4,cluster9,cluster9,cluster9,cluster11,cluster11,1
PRJNA483073,cluster4,cluster13,cluster7,cluster11,cluster12,cluster1,1
PRJNA490053,cluster1,cluster1,cluster1,cluster1,cluster1,cluster1,2
PRJNA490067,cluster1,cluster1,cluster1,cluster1,cluster1,cluster1,1
PRJNA499490,cluster2,cluster2,cluster12,cluster13,cluster5,cluster2,1
PRJNA501413,cluster2,cluster2,cluster12,cluster13,cluster5,cluster2,1
PRJNA521309,cluster2,cluster2,cluster14,cluster15,cluster5,cluster1,2
PRJNA534200,cluster2,cluster2,cluster1,cluster1,cluster5,cluster1,1
PRJNA542563,cluster1,cluster1,cluster1,cluster1,cluster1,cluster1,1
PRJNA557545,cluster1,cluster1,cluster1,cluster1,cluster1,cluster1,1
PRJNA581017,cluster7,cluster17,cluster15,cluster16,cluster14,cluster13,1
PRJNA581655,cluster7,cluster17,cluster15,cluster16,cluster14,cluster13,1
PRJNA612806,cluster1,cluster1,cluster14,cluster12,cluster5,cluster1,2
PRJNA626017,cluster1,cluster1,cluster1,cluster1,cluster1,cluster1,1
PRJNA637204,cluster2,cluster2,cluster1,cluster1,cluster1,cluster1,3
PRJNA637204,cluster6,cluster1,cluster4,cluster4,cluster5,cluster9,2
PRJNA637204,cluster8,cluster1,cluster1,cluster4,cluster5,cluster4,3
PRJNA669150,cluster4,cluster9,cluster7,cluster24,cluster7,cluster18,1
PRJNA670160,cluster2,cluster1,cluster1,cluster1,cluster5,cluster1,1
PRJNA691338,cluster3,cluster21,cluster20,cluster21,cluster18,cluster1,1
PRJNA751445,cluster1,cluster18,cluster16,cluster4,cluster1,cluster1,1
PRJNA755809,cluster4,cluster9,cluster17,cluster17,cluster16,cluster1,1
PRJNA757429,cluster4,cluster9,cluster7,cluster25,cluster7,cluster10,1
PRJNA779451,cluster1,cluster18,cluster22,cluster20,cluster5,cluster16,1
PRJNA779451,cluster2,cluster2,cluster18,cluster1,none,cluster1,1
PRJNA78307,cluster2,cluster2,cluster1,cluster1,cluster1,cluster1,1
PRJNA788193,cluster2,cluster19,cluster18,cluster18,cluster17,cluster1,1
PRJNA798255,cluster4,cluster8,cluster21,cluster11,cluster19,cluster1,1
PRJNA842362,cluster2,cluster22,cluster1,cluster22,cluster5,cluster14,1
PRJNA844552,cluster4,cluster9,cluster7,cluster23,cluster20,cluster15,1
PRJNA857029,cluster2,cluster23,cluster23,cluster1,cluster21,cluster17,1
PRJNA938500,cluster2,cluster22,cluster1,cluster22,cluster5,cluster14,1
PRJNA943471,cluster2,cluster2,cluster14,cluster26,cluster5,cluster1,1
PRJNA956831,cluster2,cluster1,cluster1,cluster1,cluster5,cluster1,1
PRJNA958340,cluster2,cluster1,cluster1,cluster4,cluster1,cluster1,1
PRJNA974887,cluster2,cluster1,cluster24,cluster1,cluster1,cluster1,1
PRJNA999621,cluster4,cluster25,cluster7,cluster24,cluster7,cluster10,1
PRJNA999621,cluster4,cluster9,cluster7,cluster24,cluster7,cluster15,1
PRJNA999621,cluster4,cluster9,cluster7,cluster28,cluster23,cluster10,1
PRJNA999621,cluster4,cluster9,cluster7,cluster29,cluster7,cluster10,1
PRJNA999621,cluster7,cluster24,cluster25,cluster27,cluster22,cluster13,1
