BioProject,dnaQ_cluster,mutL_cluster,mutS_cluster,mutT_cluster,mutY_cluster,uvrD_cluster,count
PRJEA63495,cluster1,cluster1,cluster1,cluster1,cluster1,cluster1,1
PRJEB16280,cluster3,cluster1,cluster1,cluster1,cluster1,cluster1,1
PRJEB42773,cluster20,cluster19,cluster18,none,cluster18,cluster19,1
PRJNA1009252,cluster1,none,cluster1,cluster1,cluster1,cluster1,1
PRJNA1009252,cluster19,cluster18,cluster17,cluster19,cluster1,cluster17,1
PRJNA219725,cluster3,cluster1,cluster1,cluster1,none,cluster1,1
PRJNA236566,cluster1,cluster1,cluster1,cluster1,cluster4,cluster1,1
PRJNA239581,cluster2,cluster2,cluster2,cluster2,cluster3,cluster2,1
PRJNA248703,cluster4,cluster3,cluster3,cluster3,cluster5,cluster3,1
PRJNA290438,cluster1,cluster1,cluster1,cluster1,cluster1,cluster1,1
PRJNA292573,cluster1,cluster1,cluster1,cluster1,cluster1,cluster4,1
PRJNA311625,cluster1,cluster1,cluster1,cluster1,cluster1,cluster5,1
PRJNA342848,cluster1,cluster7,cluster1,cluster1,cluster1,cluster1,2
PRJNA342848,cluster10,cluster9,cluster8,cluster8,cluster10,cluster9,1
PRJNA342848,cluster11,cluster10,cluster9,cluster9,cluster11,cluster10,1
PRJNA342848,cluster12,cluster11,cluster10,cluster10,cluster12,cluster11,1
PRJNA342848,cluster5,cluster4,cluster4,cluster4,cluster6,cluster6,1
PRJNA342848,cluster6,cluster5,cluster5,cluster5,cluster7,cluster7,1
PRJNA342848,cluster7,cluster6,cluster6,cluster6,cluster8,cluster7,1
PRJNA342848,cluster8,cluster1,cluster1,cluster1,cluster1,cluster1,1
PRJNA342848,cluster9,cluster8,cluster7,cluster7,cluster9,cluster8,1
PRJNA511966,cluster3,cluster1,cluster1,cluster1,cluster1,cluster1,1
PRJNA546138,cluster14,cluster13,cluster13,cluster13,cluster15,cluster14,1
PRJNA563568,cluster3,cluster1,cluster1,cluster1,cluster1,cluster1,1
PRJNA580197,cluster13,cluster12,cluster11,cluster11,cluster13,cluster12,1
PRJNA595761,cluster3,cluster1,cluster1,cluster1,cluster1,cluster1,1
PRJNA614643,cluster3,cluster1,cluster1,cluster1,cluster1,cluster1,1
PRJNA631210,cluster13,cluster12,cluster12,cluster12,cluster14,cluster13,1
PRJNA700469,cluster15,cluster14,cluster14,cluster14,cluster1,cluster15,1
PRJNA709201,cluster18,cluster17,cluster6,cluster18,cluster17,cluster18,1
PRJNA779451,cluster1,cluster1,cluster1,cluster1,cluster2,cluster1,1
PRJNA785268,cluster1,cluster1,cluster1,cluster1,cluster1,cluster1,1
PRJNA79071,cluster1,cluster1,cluster1,cluster1,cluster2,cluster1,1
PRJNA844552,cluster16,cluster15,cluster15,cluster15,cluster16,cluster16,1
PRJNA847632,cluster1,cluster1,cluster17,cluster17,cluster1,cluster1,1
PRJNA968066,cluster17,cluster16,cluster16,cluster16,cluster1,cluster17,1
