BioProject,dnaQ_cluster,mutL_cluster,mutS_cluster,mutT_cluster,mutY_cluster,uvrD_cluster,count
PRJDB10089,cluster164,cluster222,cluster243,cluster235,cluster225,cluster39,1
PRJDB10089,cluster32,cluster223,cluster245,cluster108,cluster37,cluster33,1
PRJDB10089,cluster32,cluster35,cluster247,cluster37,cluster37,cluster33,1
PRJDB10089,cluster37,cluster224,cluster248,cluster237,cluster228,cluster39,1
PRJDB10089,cluster37,cluster41,cluster246,cluster236,cluster227,cluster39,1
PRJDB10089,cluster51,cluster55,cluster244,cluster59,cluster226,cluster54,1
PRJDB10510,cluster132,cluster167,cluster179,cluster87,cluster163,cluster78,1
PRJDB10510,cluster196,cluster280,cluster310,cluster295,cluster285,cluster211,1
PRJDB10510,cluster23,cluster165,cluster176,cluster171,cluster160,cluster130,1
PRJDB10510,cluster32,cluster33,cluster35,cluster35,cluster35,cluster33,1
PRJDB14766,cluster39,cluster247,cluster46,cluster46,cluster46,cluster79,1
PRJDB202,cluster76,cluster89,cluster95,cluster91,cluster92,cluster81,1
PRJDB208,cluster54,cluster58,cluster61,cluster62,cluster62,cluster56,1
PRJDB215,cluster85,cluster4,cluster113,cluster4,cluster108,cluster4,1
PRJDB217,cluster86,cluster104,cluster114,cluster106,cluster109,cluster93,1
PRJDB219,cluster87,cluster105,none,cluster107,cluster110,cluster94,1
PRJDB226,cluster60,cluster52,cluster69,cluster69,cluster70,cluster62,1
PRJDB6068,cluster13,cluster13,cluster172,cluster13,cluster158,cluster13,1
PRJEA31229,cluster43,cluster47,cluster241,cluster234,cluster50,cluster46,1
PRJEB11417,cluster20,cluster20,cluster21,cluster21,cluster21,cluster20,1
PRJEB15748,cluster132,cluster167,cluster179,cluster87,cluster163,cluster78,1
PRJEB16048,cluster23,cluster94,cluster101,cluster95,cluster97,cluster85,1
PRJEB16052,cluster59,cluster66,cluster67,none,cluster69,cluster60,1
PRJEB16206,cluster76,cluster89,cluster95,cluster91,cluster92,cluster81,1
PRJEB16234,cluster18,cluster67,cluster70,cluster18,cluster71,cluster18,1
PRJEB16257,cluster65,cluster91,cluster97,cluster93,cluster94,cluster83,1
PRJEB16279,cluster29,cluster294,cluster32,cluster111,cluster300,cluster30,1
PRJEB16372,cluster202,cluster295,cluster324,cluster311,cluster301,cluster218,1
PRJEB16379,cluster20,cluster20,cluster68,cluster47,cluster47,cluster61,1
PRJEB16396,cluster61,cluster68,cluster71,cluster70,cluster72,cluster63,1
PRJEB16399,cluster62,cluster69,cluster72,cluster71,cluster73,cluster64,1
PRJEB16405,cluster78,cluster95,cluster102,cluster96,cluster98,cluster86,1
PRJEB16449,cluster131,cluster163,cluster174,cluster169,cluster159,cluster129,1
PRJEB16456,cluster30,cluster31,cluster33,cluster33,cluster33,cluster31,1
PRJEB16476,cluster27,cluster28,cluster175,cluster30,cluster30,cluster28,1
PRJEB16477,cluster77,cluster90,cluster96,cluster92,cluster93,cluster82,1
PRJEB16479,cluster39,cluster170,cluster325,cluster46,cluster46,cluster79,1
PRJEB16480,cluster60,cluster52,cluster69,cluster69,cluster70,cluster62,1
PRJEB16481,cluster23,cluster165,cluster176,cluster171,cluster160,cluster130,1
PRJEB16487,cluster32,cluster33,cluster35,cluster35,cluster35,cluster33,1
PRJEB16490,cluster86,cluster104,cluster114,cluster106,cluster109,cluster93,1
PRJEB16499,cluster87,cluster105,none,cluster107,cluster110,cluster94,1
PRJEB16502,cluster85,cluster4,cluster113,cluster4,cluster108,cluster4,1
PRJEB16504,cluster55,cluster26,cluster62,cluster63,cluster28,cluster26,1
PRJEB22404,cluster54,cluster58,cluster61,cluster62,cluster62,cluster56,1
PRJEB27737,cluster7,cluster98,cluster250,cluster172,cluster303,cluster87,1
PRJEB29956,cluster76,cluster89,cluster95,cluster91,cluster92,cluster81,1
PRJEB29957,cluster78,cluster95,cluster102,cluster96,cluster98,cluster86,1
PRJEB29960,cluster65,cluster91,cluster97,cluster93,cluster94,cluster83,1
PRJEB29961,cluster23,cluster94,cluster101,cluster95,cluster97,cluster85,1
PRJEB29962,cluster87,cluster105,none,cluster107,cluster110,cluster94,1
PRJEB29963,cluster9,cluster9,cluster9,cluster9,cluster9,cluster92,1
PRJEB30245,cluster51,cluster126,cluster131,cluster123,cluster129,cluster54,1
PRJEB34261,cluster109,cluster303,cluster334,cluster320,cluster312,cluster225,1
PRJEB34261,cluster115,cluster139,cluster340,cluster325,cluster319,cluster230,1
